Feature 1,Feature 2,cluster,huge_cluster_tip,huge_cluster
-4.8448076,4.0447145,6,G,4.0
5.8575034,11.322607,1,low_polar+aliphatic+G+P,0.0
2.5080292,1.3589077,3,pos_neg_charged,2.0
4.1979074,14.192729,1,low_polar+aliphatic+G+P,0.0
5.3943076,-0.24181941,9,pos,5.0
5.0440187,13.962766,1,low_polar+aliphatic+G+P,0.0
5.332976,-0.24756235,9,pos,5.0
-2.1691606,-2.5844097,11,neg,7.0
2.6418397,0.9386028,3,pos_neg_charged,2.0
5.3724647,-0.1957246,9,pos,5.0
3.3550196,10.486495,1,low_polar+aliphatic+G+P,0.0
4.3717184,10.874006,1,low_polar+aliphatic+G+P,0.0
4.70188,12.722474,1,low_polar+aliphatic+G+P,0.0
3.8082511,10.91452,1,low_polar+aliphatic+G+P,0.0
2.488693,0.7299592,3,pos_neg_charged,2.0
2.6024935,0.93771535,3,pos_neg_charged,2.0
-4.495465,3.5447948,6,G,4.0
-5.203111,3.5605328,6,G,4.0
-4.9177513,3.5486338,6,G,4.0
-4.5415134,3.798105,6,G,4.0
-4.856996,3.6073198,6,G,4.0
-4.858947,3.6131084,6,G,4.0
-4.875386,3.6290069,6,G,4.0
4.738301,11.416406,1,low_polar+aliphatic+G+P,0.0
8.343622,-0.7723737,4,pos_neg_charged,2.0
2.0208058,11.921664,1,low_polar+aliphatic+G+P,0.0
1.890012,13.092436,1,low_polar+aliphatic+G+P,0.0
5.008803,11.870903,1,low_polar+aliphatic+G+P,0.0
2.306625,1.5988238,3,pos_neg_charged,2.0
1.9027715,12.843508,1,low_polar+aliphatic+G+P,0.0
4.227299,12.381423,1,low_polar+aliphatic+G+P,0.0
5.85002,-0.52902544,9,pos,5.0
5.443424,-0.44307858,9,pos,5.0
2.0578806,0.8965275,3,pos_neg_charged,2.0
-2.6140242,-1.7767943,11,neg,7.0
15.3991375,8.648659,0,polar,1.0
15.08472,10.178356,12,Q,8.0
14.965343,8.128081,0,polar,1.0
-1.2059569,6.9926076,10,aliphatic,6.0
4.9842587,12.632062,1,low_polar+aliphatic+G+P,0.0
2.3515565,0.58886844,3,pos_neg_charged,2.0
4.494081,12.837516,1,low_polar+aliphatic+G+P,0.0
3.1545198,0.640536,3,pos_neg_charged,2.0
3.1830165,0.75025725,3,pos_neg_charged,2.0
3.2190835,0.6730139,3,pos_neg_charged,2.0
16.097633,7.4223294,0,polar,1.0
2.8622377,1.2264787,3,pos_neg_charged,2.0
15.994383,7.375334,0,polar,1.0
5.1776333,10.862736,1,low_polar+aliphatic+G+P,0.0
2.71504,1.0672646,3,pos_neg_charged,2.0
5.22137,10.768443,1,low_polar+aliphatic+G+P,0.0
-4.748078,4.0407624,6,G,4.0
5.2344003,10.994497,1,low_polar+aliphatic+G+P,0.0
6.4439363,10.557766,1,low_polar+aliphatic+G+P,0.0
4.6557155,10.688354,1,low_polar+aliphatic+G+P,0.0
6.130932,10.307594,1,low_polar+aliphatic+G+P,0.0
3.6954794,10.630477,1,low_polar+aliphatic+G+P,0.0
3.7150898,10.432854,1,low_polar+aliphatic+G+P,0.0
5.8370876,11.611728,1,low_polar+aliphatic+G+P,0.0
6.117436,10.890444,1,low_polar+aliphatic+G+P,0.0
1.6195654,11.296159,1,low_polar+aliphatic+G+P,0.0
5.903931,9.774558,1,low_polar+aliphatic+G+P,0.0
2.6140046,10.334063,1,low_polar+aliphatic+G+P,0.0
2.5005503,10.425878,1,low_polar+aliphatic+G+P,0.0
5.0773745,11.251671,1,low_polar+aliphatic+G+P,0.0
5.6165442,11.186244,1,low_polar+aliphatic+G+P,0.0
14.120598,15.62726,2,P,3.0
-2.4526668,-2.7815933,11,neg,7.0
2.0474539,0.38370273,3,pos_neg_charged,2.0
5.5874248,9.6125145,1,low_polar+aliphatic+G+P,0.0
5.8079615,10.954438,1,low_polar+aliphatic+G+P,0.0
14.891014,6.8824544,0,polar,1.0
14.658526,7.0984535,0,polar,1.0
14.65253,7.128781,0,polar,1.0
13.033871,3.4808614,5,polar,1.0
14.5996275,7.092874,0,polar,1.0
14.73387,7.0638514,0,polar,1.0
5.053874,10.100959,1,low_polar+aliphatic+G+P,0.0
2.68525,1.4458603,3,pos_neg_charged,2.0
3.9759028,13.225456,1,low_polar+aliphatic+G+P,0.0
8.414157,-0.79063755,4,pos_neg_charged,2.0
16.16614,7.6194506,0,polar,1.0
3.926589,13.290917,1,low_polar+aliphatic+G+P,0.0
2.0569375,11.629216,1,low_polar+aliphatic+G+P,0.0
15.72472,7.2505608,0,polar,1.0
16.506546,6.835091,0,polar,1.0
15.329283,7.51166,0,polar,1.0
5.429219,11.955292,1,low_polar+aliphatic+G+P,0.0
5.317131,11.4166,1,low_polar+aliphatic+G+P,0.0
1.8275735,11.026226,1,low_polar+aliphatic+G+P,0.0
1.7846695,11.899536,1,low_polar+aliphatic+G+P,0.0
2.127495,11.2900305,1,low_polar+aliphatic+G+P,0.0
3.5405607,11.676529,1,low_polar+aliphatic+G+P,0.0
17.005257,7.0685925,0,polar,1.0
3.942049,12.273012,1,low_polar+aliphatic+G+P,0.0
2.1320612,0.7451767,3,pos_neg_charged,2.0
16.062569,7.007454,0,polar,1.0
3.6273172,10.889809,1,low_polar+aliphatic+G+P,0.0
1.8701763,12.774814,1,low_polar+aliphatic+G+P,0.0
2.5512846,11.800185,1,low_polar+aliphatic+G+P,0.0
4.5238514,10.301178,1,low_polar+aliphatic+G+P,0.0
15.6903925,6.950907,0,polar,1.0
3.9694967,12.557663,1,low_polar+aliphatic+G+P,0.0
5.696858,13.730324,1,low_polar+aliphatic+G+P,0.0
5.4116898,11.836693,1,low_polar+aliphatic+G+P,0.0
15.613128,6.941096,0,polar,1.0
3.0629325,13.669432,1,low_polar+aliphatic+G+P,0.0
13.264097,3.109278,5,polar,1.0
3.24833,10.88484,1,low_polar+aliphatic+G+P,0.0
4.395083,13.995087,1,low_polar+aliphatic+G+P,0.0
2.410823,12.348601,1,low_polar+aliphatic+G+P,0.0
5.435865,12.471339,1,low_polar+aliphatic+G+P,0.0
2.6560292,11.989051,1,low_polar+aliphatic+G+P,0.0
4.115257,11.037897,1,low_polar+aliphatic+G+P,0.0
11.179352,1.3224814,8,polar,1.0
15.942481,7.203279,0,polar,1.0
15.822101,6.7513976,0,polar,1.0
4.510608,14.063191,1,low_polar+aliphatic+G+P,0.0
5.616408,12.589359,1,low_polar+aliphatic+G+P,0.0
16.256264,7.6920276,0,polar,1.0
14.548126,15.798426,2,P,3.0
4.393337,8.122064,1,low_polar+aliphatic+G+P,0.0
3.9090362,8.19667,1,low_polar+aliphatic+G+P,0.0
3.9587095,8.291093,1,low_polar+aliphatic+G+P,0.0
3.9522965,8.162485,1,low_polar+aliphatic+G+P,0.0
4.5957127,8.3322115,1,low_polar+aliphatic+G+P,0.0
14.636371,15.757317,2,P,3.0
6.45888,12.33091,1,low_polar+aliphatic+G+P,0.0
-4.9678526,3.9172106,6,G,4.0
4.411204,10.163081,1,low_polar+aliphatic+G+P,0.0
2.7973206,1.4670417,3,pos_neg_charged,2.0
2.9044688,12.720455,1,low_polar+aliphatic+G+P,0.0
3.3534422,12.701829,1,low_polar+aliphatic+G+P,0.0
3.5257735,11.399604,1,low_polar+aliphatic+G+P,0.0
5.675058,12.441331,1,low_polar+aliphatic+G+P,0.0
2.5771043,1.6449379,3,pos_neg_charged,2.0
